Cat_SMILES,Cat_MW,Cat_Rad_Gyr,Cat_Len_x,Cat_Len_y,Cat_Len_z,Cat_MPP,Cat_SDP
C[N+]1(CCCF)C2CCC1CC(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2,412.517882,4.18443254,16.265,7.327,11.336,1.258957,5.160535
Cc1cc2c3ccccc3[n+]1CCCCCCCCCC[n+]1c(C)cc(c3ccccc31)NCCCCCCCCCCN2,594.916812,5.76340098,19.226,12.784,8.616,1.227331,6.117464
C[N+]1(C)[C@@H]2C[C@@H](OC3c4ccccc4CSc4ccccc43)C[C@H]1[C@@H]1O[C@@H]12,380.523686,3.77769372,11.007,13.597,7.896,1.36916,5.637441
C[N+](C)(C)CCOC(=O)C1CCC[N+]1(C)C,230.347507,3.4334381,6.463,7.224,13.387,1.128212,4.050765
COc1ccc2cc1Oc1cc3c(cc1OC)CC[N+](C)(C)[C@H]3Cc1ccc(cc1)Oc1c(OC)c(OC)cc3c1[C@@H](C2)[N+](C)(C)CC3,652.820428,4.87887405,13.642,16.545,9.153,1.502029,6.843417
C[N+]1(C)CCCC1COC(=O)C(O)(c1ccccc1)C1CCCCC1,346.484476,3.75222889,6.85,14.439,11.632,1.187002,4.479674
CCOCC(O)COc1ccc(NC(=O)CC[S+](C)C)cc1,328.447344,5.55713414,7.929,20.97,6.139,0.867141,3.64104
COc1ccc2[nH]c3ccc4cc[n+](CCN5CCC(C6CCN(CC[n+]7ccc8ccc9[nH]c%10ccc(OC)cc%10c9c8c7)CC6)CC5)cc4c3c2c1,718.929918,8.00578877,10.284,12.515,26.807,1.736559,7.945254
C[N+](C)(C)CC1COCO1,146.207716,2.35502948,9.68,6.307,6.547,1.012737,3.830339
CC[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)CC,318.452786,4.14103837,15.594,10.19,7.63,1.354223,4.888569
CC[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,354.463449,3.80589515,11.503,14.167,8.587,1.507721,6.19274
CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,304.533906,3.66254357,12.455,11.615,9.126,1.535406,7.007954
COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCCCCCCCCC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC,855.154528,4.85039937,11.723,18.278,13.613,2.223362,10.147322
O=[N+]([O-])c1ccc(-c2csc3[n+]2CCN3)o1,238.243261,3.13019114,8.734,12.068,4.214,0.367773,1.813968
CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,652.820428,4.87887405,13.642,16.545,9.153,1.502029,6.843417
CC[N+]1(CC)CCC(=C(c2ccccc2)c2ccccc2)C1C,306.465234,3.49886256,8.256,13.357,11.343,1.462632,5.824229
COCCOCCOCCOCCOC(=O)OC[n+]1ccc(N/C(=N/CCCCCCOc2ccc(Cl)cc2)NC#N)cc1,637.145222,5.83424186,14.498,17.749,8.821,1.479276,6.412869
C[S+](C)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,323.470649,3.6318891,14.992,7.579,10.302,1.123607,5.137451
CN(C)C(=O)Oc1ccc[n+](C)c1,181.212069,2.82713984,7.611,11.47,4.97,0.631881,2.657849
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,223.291921,3.18992959,6.497,8.573,12.593,0.937222,4.056498
CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,348.500357,3.97574283,15.196,6.941,11.902,1.178752,4.498319
CCCCCCCCCC[N+](C)(C)CCOC(=O)C12CC3CC(CC(C3)C1)C2,392.639185,3.82846119,15.072,11.137,8.249,1.216423,5.954522
C[N+](C)(C)C1CCC(CC2CCC([N+](C)(C)C)CC2)CC1,296.535019,4.23374969,7.014,16.595,6.475,1.229969,4.294744
COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCCCCCCCCC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC,855.154528,7.77503074,10.246,29.335,13.875,1.775703,7.915723
CC[N+](CC)(CC(=O)Nc1c(C)cccc1C)Cc1ccccc1,325.468547,3.5285421,7.984,10.238,13.278,1.260863,5.180503
COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]2(C)CCc3cc(OC)c(OC)cc3[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,929.147002,8.10112575,16.204,12.253,27.145,2.128103,10.029754
COC1=C(OC)C(=O)C(CCCCCCCCCC[P+](c2ccccc2)(c2ccccc2)c2ccccc2)=C(C)C1=O,583.718003,5.63855071,20.436,11.877,12.004,1.7896,9.476199
CCCCCCCCCCCCCCCC[N+](C)(C)CC,298.570814,4.13713835,8.303,10.179,15.749,1.478569,5.898602
C[N+](C)(C)CCCCCC[N+](C)(C)C,202.38046,3.67285914,6.996,6.5,13.701,1.085217,4.100079
O=C(CCBr)N1CC[N+]2(CC1)CC[N+]1(CCN(C(=O)CCBr)CC1)CC2,496.280029,5.54877317,8.678,6.663,18.75,1.153999,4.539523
CC[N+](CC)(CC)CCOC(=O)C(C1CCCC1)C1CCCC1,324.52198,3.9328036,14.076,8.47,11.338,1.311837,6.05844
Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]1c(C)cc(N)c2ccccc21,456.66652,5.40160894,9.433,10.882,19.932,1.652834,7.225099
C[N+](C)(CC(=O)Nc1ccccc1)CC(=O)Nc1ccccc1,312.386862,4.28083477,10.31,7.004,16.096,1.082136,4.235438
C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C1c3ccccc3Oc3ccccc31)C2,364.458303,3.48656292,12.388,8.625,11.214,1.484843,5.967448
Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1,382.521584,5.54861313,21.791,8.509,6.398,1.026149,4.04194
C[N+]12CCC(CC1)C(CN1c3ccccc3Sc3ccccc31)C2,929.147002,8.10112575,16.204,12.253,27.145,2.128103,10.029754
c1ccc2c[n+](CCCCCCCCCCCCCCCC[n+]3ccc4ccccc4c3)ccc2c1,482.743702,10.19670706,33.771,6.795,8.331,1.088403,4.405771
CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CCCCC1,557.82867,4.64262081,12.668,16.474,9.498,1.742051,7.06727
CN(CCCCCCN(C)C(=O)Oc1ccc[n+](C)c1)C(=O)Oc1ccc[n+](C)c1,416.514726,4.46248495,13.048,9.386,13.429,1.616868,7.118767
CC[N+](C)(CC)CCOCCOC(=O)C(c1ccccc1)[N+]1(C)CCCCC1,392.576177,4.20672111,15.997,8.357,11.311,1.434953,6.017921
C[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,318.388147,3.75706619,9.745,14.413,7.837,1.227761,5.163682
CC[N+](C)(CC)CCOC(=O)C1CCCC(C)[N+]1(C)C,286.453976,3.88242398,7.078,8.321,15.074,1.269098,4.796756
CCCCCCCCCCCC(c1ccc(C)cc1)[N+](C)(C)C,318.560523,4.71456944,10.606,17.787,8.36,1.429044,5.862988
CCOC(=O)c1c[n+](C)c2n(c1=O)C(C)CCC2,251.302062,3.14588911,6.137,9.682,13.564,0.843552,3.744444
C[N+](C)(C)CCCCCOCCCCC[N+](C)(C)C,274.486334,4.21723378,9.688,6.979,14.845,1.16646,4.542629
CCCCCCCCCCCC(c1ccc(C)cc1)[N+](C)(C)C,318.560523,5.15171746,11.205,7.029,19.317,1.002251,4.661697
CCOC(=O)c1c[n+](C)c2n(c1=O)C(C)CCC2,251.302062,3.14844208,6.132,9.679,13.596,0.842547,3.738614
C[N+](C)(C)CCCCCOCCCCC[N+](C)(C)C,274.486334,5.28022484,19.205,7.799,6.901,1.125241,4.504993
Cc1ccc(C(C)C)c(OCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCOc2cc(C)ccc2C(C)C)c1,582.94427,8.05813585,11.148,25.98,13.234,1.782996,8.795764
C[N+]1(C)CCN(CC(O)(c2ccccc2)C2CCCCC2)CC1,317.489574,3.49437715,7.104,12.308,11.192,1.274193,4.735641
Cc1ccc(C(C)C)c(OCC[N+](C)(C)CCCCCCCCCC[N+](C)(C)CCOc2cc(C)ccc2C(C)C)c1,582.94427,8.28223243,27.326,11.083,12.026,1.931184,9.02553
CC[N+](C)(CC)CCSC1=Nc2ccccc2N=C(c2ccc(Sc3ccccc3)cc2)C1,474.704394,4.683914,12.167,17.171,8.639,1.35928,5.60982
C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2,352.447567,3.69289219,11.018,7.433,14.827,1.271274,5.041158
C[N+](C)(C)CCCCCOCCCCC[N+](C)(C)C,274.486334,4.22893027,7.417,14.935,9.665,1.347492,5.015708
C[N+]1(CC2COC(c3ccccc3)(C3CCCCC3)O2)CCCCC1,344.511688,3.6876328,13.156,7.408,11.478,1.263488,5.024608
CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C,353.521782,3.63921242,9.369,13.095,11.733,1.60797,6.819052
CC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21,314.404379,3.54518038,13.98,11.298,7.054,0.965485,4.696288
CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1,334.559928,6.48552275,6.695,8.347,24.682,1.069526,4.245488
CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,360.640375,5.75473538,18.295,7.367,14.946,1.109673,4.708119
C[N+](C)(CCOc1ccccc1)Cc1ccccc1,256.363315,3.80644928,14.599,8.737,7.208,1.195515,4.949325
C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,240.428549,4.31850832,16.321,6.308,7.546,1.113646,3.908106
CC[n+]1c(/C=C/c2ccc(N3CCCC3)cc2)cccc1/C=C/c1ccc(N2CCCC2)cc1,450.63879,6.91017878,6.969,10.325,25.867,1.249589,4.538729
CCCCCCCCCCCC[N+](C)(C)CC(=O)OCC,300.500508,3.78785556,7.362,9.306,14.794,1.252956,4.896514
CCCCCCCCCCCCCCCC[N+](C)(C)C1CCCCC1O,368.660807,4.24964235,12.495,9.106,14.687,1.455505,6.666141
CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,332.587141,5.60735732,10.267,20.913,7.693,1.32799,5.299361
CCCCCCCCCCCCNC(=O)C[N+](C)(C)Cc1ccccc1,361.585308,6.26698874,10.685,6.701,23.999,1.011173,4.371388
C[N+]1(C)CCCC1COC(=O)C(O)(c1ccccc1)C1CCCCC1,346.484476,3.78494174,7.159,11.013,13.763,1.263932,4.784752
CCCOC(=O)C[N+](C)(C)CCOCCCCCCCCCCOCC[N+](C)(C)CC(=O)OCCC,518.771005,5.96298087,8.618,13.542,20.322,1.416103,6.204562
COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C,609.732635,4.64849984,16.261,10.164,12.051,1.72915,7.892878
OC(CCl)CN1CC[N+]2(CC1)CC[N+]1(CCN(CC(O)CCl)CC1)CC2,411.410611,4.94198613,8.842,17.896,7.213,1.202756,4.39906
C[N+](C)(CCOc1ccccc1)Cc1cccs1,262.390749,3.81279688,6.678,15.68,8.005,1.157445,4.26475
C[N+]1(C)[C@@H]2C[C@@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@H]1[C@@H]1O[C@@H]12,392.512576,3.67318415,14.017,7.518,10.336,1.279054,5.486046
CC[N+](C)(CC)CCOCCOC(=O)C(c1ccccc1)[N+]1(C)CCCCC1,392.576177,4.91507824,11.857,6.79,19.162,1.179388,4.544895
CC[N+](CC)(CC)CCC(O)(c1ccccc1)C1CCCCC1,318.517429,3.56943694,13.825,7.808,11.833,1.31641,5.562695
CC[N+](CC)(CC)CCOc1ccc(/C=C/c2ccccc2)cc1,324.48052,5.25502217,6.959,20.583,8.989,1.065236,4.674128
C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)C1CCCCC1)C2,358.495212,3.58250069,13.822,10.026,8.01,1.393716,5.622168
CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,326.624049,5.20024217,9.299,8.219,18.534,1.372712,5.768781
Cc1cc(C)c2cccc(OCc3c(Cl)ccc(S(=O)(=O)NC4(C(=O)N5CCN(C(=O)[C@@H](N)CCC[N+](C)(C)C)CC5)CCOCC4)c3Cl)c2n1,764.782901,6.93503106,10.751,26.897,10.229,1.842388,8.854158
CCC(C)C(C(=O)OCC[N+](C)(CC)CC)c1ccccc1,306.463599,3.88601485,9.952,7.563,12.846,1.407862,5.42634
CC[N+]1(CC)CCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,354.463449,3.92893169,11.593,7.624,15.77,1.23214,5.114848
O=C(O[C@H]1C[C@H]2CC[C@@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,392.511538,4.03915316,16.774,10.799,7.581,1.247731,5.25268
C[N+](C)(C)Cc1ccco1,140.203166,2.27889949,10.034,6.791,5.835,0.967603,3.618252
Cc1sc[n+](CC(=O)c2ccccc2)c1C,232.321633,3.38237158,6.905,14.273,7.768,1.087317,4.136532
CNCC(=O)OCc1cccnc1N(C)C(=O)OC(C)[n+]1cnn(C[C@](O)(c2cc(F)ccc2F)[C@@H](C)c2nc(-c3ccc(C#N)cc3)cs2)c1,717.765927,5.25329383,9.985,16.618,20.019,1.769999,7.225225
CC(C)Oc1cccc(CC(=O)N2CCC[C@](CC[N+]34CCC(c5ccccc5)(CC3)CC4)(c3ccc(Cl)c(Cl)c3)C2)c1,620.672654,5.38306391,14.513,12.306,18.005,1.979132,9.62027
C[N+](C)(C)CCOC(Cc1ccccc1)c1ccccc1,284.41655,3.6185067,12.172,6.92,12.885,1.244811,4.575117
C[N+]1(C)[C@@H]2C[C@@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@H]1[C@@H]1O[C@@H]12,392.512576,3.67789505,11.069,7.86,14.299,1.27256,4.916021
CCCCCCCCCCCCCCCC[N+](C)(C)C1CCCCC1O,368.660807,5.79269863,19.847,12.931,8.086,1.282349,5.62897
CCC(C)C(C(=O)OCC[N+](C)(CC)CC)c1ccccc1,306.463599,3.82370666,7.705,13.73,11.862,1.291998,5.367878
CN(CCCCCCN(C)C(=O)Oc1ccc[n+](C)c1)C(=O)Oc1ccc[n+](C)c1,416.514726,5.3223743,8.891,18.736,11.087,1.400617,6.344215
CC[N+](C)(CC)CCOC(=O)C(O)(c1cccs1)C1CCCC1,340.501174,3.8549761,10.583,7.427,15.017,1.23853,5.082795
CC[N+](C)(C)c1cccc(O)c1,166.240519,2.4708474,9.623,6.94,7.79,1.135962,4.504914
CCN(CC)CC[n+]1ccc2c(C)c3[nH]c4ccc(O)cc4c3c(C)c2c1,362.488781,4.31268863,16.043,7.003,11.076,0.947891,4.604534
CC[n+]1c(-c2ccccc2)c2cc(N/N=N/c3cccc(C(=N)N)c3)ccc2c2ccc(N)cc21,460.553987,5.61249848,8.465,20.609,13.036,1.256552,6.102935
CN(CC[N+]1(C)CCCC1)C(=O)C(O)(c1ccccc1)c1cccs1,359.506122,3.74444746,7.927,15.438,10.87,1.33242,5.313685
COCCOCCOCCOCCOC(=O)OC[n+]1ccc(N/C(=N/C#N)NCCCCCCOc2ccc(Cl)cc2)cc1,637.145222,10.24868471,37.622,12.161,7.346,1.048291,4.775429
CCCCCCCCCCCC(=O)OCCNC(=O)C[n+]1ccccc1,363.515001,6.15044071,21.354,6.928,10.104,1.024189,4.554058
CCCCCCCCCCCC(c1ccc(C)cc1)[N+](C)(C)C,318.560523,3.64015972,9.294,14.067,11.697,1.612185,6.850602
CC(C)Oc1cccc(CC(=O)N2CCC[C@](CC[N+]34CCC(c5ccccc5)(CC3)CC4)(c3ccc(Cl)c(Cl)c3)C2)c1,620.672654,5.28009323,15.803,9.481,18.175,1.448669,6.584683
C[N+](C)([11CH3])CCO,104.170958,1.87408487,6.289,6.323,8.441,1.04951,3.815346
CC1(C)[C@@H](O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)OCC6CCC[N+]6(C)C)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,582.877996,5.25839128,8.828,12.037,19.348,1.556792,6.063931
C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](O)[C@@H](N6CCOCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(C)=O)CCCC1,529.775435,4.75748885,10.864,10.451,18.178,1.694383,7.657385
C[N+]1(CC(=O)c2ccc(-c3ccccc3)cc2)[C@@H]2CC[C@H]1C[C@@H](OC(=O)[C@H](CO)c1ccccc1)C2,484.607121,6.22834662,24.942,7.768,8.443,1.199999,4.911849
Cc1cc(C)c2cccc(OCc3c(Cl)ccc(S(=O)(=O)NC4(C(=O)N5CCN(C(=O)[C@@H](N)CCC[N+](C)(C)C)CC5)CCOCC4)c3Cl)c2n1,764.782901,6.66108842,12.062,10.243,27.199,1.780866,7.442096
COc1cc2c(cc1OC)[C@H](c1cc(OC)c(OC)c(OC)c1)[N@@+](C)(CCCOC(=O)/C=C(\Cl)C(=O)OCCC[N@+]1(C)CCc3cc(OC)c(OC)cc3[C@H]1Cc1cc(OC)c(OC)c(OC)c1)CC2,993.574928,8.16850725,29.221,14.718,15.258,2.453516,12.890086
CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H](N3CC[N+](C)(C)CC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CC[N+](C)(C)CC1,602.892516,4.67452945,17.801,10.879,11.689,2.04532,9.362649
COc1cc(CC2c3c(cc(OC)c(OC)c3OC)CC[N+]2(C)CCCOC(=O)CCC(=O)OCCC[N+]2(C)CCc3cc(OC)c(OC)c(OC)c3C2Cc2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,1035.224474,5.52799101,19.012,13.721,14.754,2.866224,11.310929
Cc1ccc(C(OCC2CCCC[N+]2(C)C)c2ccccc2)cc1,324.48052,3.88581298,14.042,7.261,12.46,1.229435,4.971327
Cn1cnc([N+](=O)[O-])c1C[N+](C)(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(Cl)c(Br)c3)ncnc2cn1,601.863249,7.14779564,24.663,6.891,11.453,0.918931,3.595846
CCOC(=O)c1c[n+](C)c2n(c1=O)C(C)CCC2,251.302062,3.15253508,9.633,13.639,6.046,0.852641,3.513333
CCCC[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,360.467999,3.94258701,15.987,10.272,7.107,1.235689,4.520852
CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,510.816847,5.46518825,14.882,8.647,19.503,1.396001,6.267404
COCC[n+]1c2c(n(Cc3cnccn3)c1C)C(=O)c1ccccc1C2=O,363.39062,3.95286223,6.076,15.962,12.017,0.684548,3.611552
CCCCCCCCCCCC[n+]1c(C)cc(N)c2ccccc21,327.527523,4.8570474,17.545,7.906,9.735,1.384844,5.453446
CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2ccccc2)cc1,385.565321,4.41383859,17.23,12.718,7.736,1.459882,5.299237
CCCCCCCCCCCCCCCC[N+](C)(C)CCN(Cc1ccc(OC)cc1)c1ncccn1,511.806508,5.70173879,19.094,9.689,15.504,1.523468,7.273081
COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C,609.732635,4.38177404,15.524,11.636,13.411,1.970737,9.487211
CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,318.560523,5.92206479,22.343,6.296,9.555,0.99187,3.922145
C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](O)[C@@H](N6CCOCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(C)=O)CCCC1,529.775435,4.93298758,8.719,18.335,11.236,1.465412,6.374071
COc1cc(CC2c3c(cc(OC)c(OC)c3OC)CC[N+]2(C)CCCOC(=O)CCC(=O)OCCC[N+]2(C)CCc3cc(OC)c(OC)c(OC)c3C2Cc2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,1035.224474,9.0101576,14.142,29.173,13.536,2.392696,11.257796
Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1.Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1.O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O,1153.413575,6.55722659,20.86,20.288,14.278,2.697717,12.112515
CCCCCCCCCCCCCCCC[n+]1ccccc1.O,322.549192,4.85019279,11.39,16.788,8.459,1.429228,6.027825
CC1CCCC(C)(C)C1CCC(C)[N+](C)(C)CCCCCC[N+](C)(C)C(C)CCC1C(C)CCCC1(C)C,534.987515,6.81374228,10.627,23.901,8.45,1.418272,6.077894
C[C@]12CC[C@H]([N+]3(C)CCCC3)CC1=CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CCC[N+]2(C)C,386.657814,4.25936253,9.117,16.815,7.735,1.374189,5.390047
C[n+]1ccc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c4csc(N)n4)[C@H]3[S+]([O-])C2)cc1,609.675265,5.65186548,22.78,7.826,11.697,1.228362,5.095193
CCOC(=O)C[N+]1(C)CC[C@@H](OC(=O)[C@](O)(c2ccccc2)C2CCCC2)C1,390.494022,4.30002998,15.913,11.755,7.655,1.298673,5.431873
COC1=C(OC)C(=O)C(CCCCCCCCCC[P+](c2ccccc2)(c2ccccc2)c2ccccc2)=C(C)C1=O,597.74462,6.15075592,23.083,10.167,12.023,1.662893,7.871417
C[N@+]1(CC2CC2)CC[C@]23CC(=O)CC[C@@]2(O)[C@H]1Cc1ccc(C(N)=O)c(O)c13,385.477498,3.73596708,9.864,16.462,8.32,1.431411,6.087866
O=C1N(Cc2ccccc2)C2C[S+]3CCCC3C2N1Cc1ccccc1,365.512307,3.68041579,8.431,12.731,12.366,1.462286,5.528097
C[N+]12CCC(c3ccccc3)(CC1)C(=O)C2,216.299344,2.82678431,12.498,6.467,7.022,1.002192,4.279503
CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,318.560523,5.9127082,10.578,20.99,7.084,1.103648,4.672715
Oc1ccc2c(c1)CC[N+]1=C2CCC2CCCC21,456.66652,5.40160894,9.433,10.882,19.932,1.652834,7.225099
